"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"RR054592026";355224;"41129380000146";"C. A. M. R. NETO / N TECH";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RR083232026";355117;"41129380000146";"C. A. M. R. NETO / N TECH";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RR063282026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RR057052026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RR017972026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RR047652026";355061;"04387825000161";"RADIO TV DO AMAZONAS LTDA / REDE AMAZONICA RADIO E TELEVISAO";"132861,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RR060082026";29034;"15625058000106";"INSTITUTO DE PESQUISA INOPE EXCELENCIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RR039182026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RR007552026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
